t,infer,step,vx_raw,wz_raw
1784787584.7695,99,58,0.04505,-0.05962
1784787584.7695,99,59,0.05754,-0.04404
1784787585.1094,100,0,0.00492,-0.04313
1784787585.1094,100,1,0.00709,-0.04477
1784787585.1094,100,2,0.00918,-0.04939
1784787585.1094,100,3,0.00909,-0.04613
1784787585.1094,100,4,0.01036,-0.03727
1784787585.1094,100,5,0.01178,-0.03301
1784787585.1094,100,6,0.03385,-0.0019
1784787585.1094,100,7,0.04413,0.00463
1784787585.1094,100,8,0.05054,0.01277
1784787585.1094,100,9,0.06203,0.00439
1784787585.1094,100,10,0.04907,0.00711
1784787585.1094,100,11,0.04769,-0.01653
1784787585.1094,100,12,0.0236,-0.09134
1784787585.1094,100,13,0.02194,-0.08478
1784787585.1094,100,14,0.02096,-0.08878
1784787585.1094,100,15,0.02874,-0.08479
1784787585.1094,100,16,0.02472,-0.07424
1784787585.1094,100,17,0.0264,-0.07004
1784787585.1094,100,18,0.02767,-0.08473
1784787585.1094,100,19,0.02952,-0.04785
1784787585.1094,100,20,0.0311,-0.04746
1784787585.1094,100,21,0.02901,-0.04726
1784787585.1094,100,22,0.03104,-0.04594
1784787585.1094,100,23,0.02948,-0.03518
1784787585.1094,100,24,0.02672,-0.03576
1784787585.1094,100,25,0.02874,-0.02883
1784787585.1094,100,26,0.02998,-0.03415
1784787585.1094,100,27,0.03406,-0.03891
1784787585.1094,100,28,0.03935,-0.03967
1784787585.1094,100,29,0.02938,-0.04024
1784787585.1094,100,30,0.0308,-0.05389
1784787585.1094,100,31,0.01721,-0.06271
1784787585.1094,100,32,0.02041,-0.06221
1784787585.1094,100,33,0.02097,-0.0685
1784787585.1094,100,34,0.02754,-0.07734
1784787585.1094,100,35,0.02313,-0.08203
1784787585.1094,100,36,0.02902,-0.0759
1784787585.1094,100,37,0.05011,-0.03503
1784787585.1094,100,38,0.05433,-0.01459
1784787585.1094,100,39,0.05517,-0.00994
1784787585.1094,100,40,0.05663,0.002
1784787585.1094,100,41,0.05524,0.00257
1784787585.1094,100,42,0.05832,0.02597
1784787585.1094,100,43,0.0785,0.06268
1784787585.1094,100,44,0.06539,0.02163
1784787585.1094,100,45,0.06977,0.01268
1784787585.1094,100,46,0.06833,0.0216
1784787585.1094,100,47,0.07048,0.02645
1784787585.1094,100,48,0.07456,0.03563
1784787585.1094,100,49,0.06482,0.02367
1784787585.1094,100,50,0.05745,-0.02377
1784787585.1094,100,51,0.03889,-0.04484
1784787585.1094,100,52,0.03532,-0.05413
1784787585.1094,100,53,0.02993,-0.05407
1784787585.1094,100,54,0.03256,-0.06737
1784787585.1094,100,55,0.02953,-0.06738
1784787585.1094,100,56,0.08215,0.00815
1784787585.1094,100,57,0.07036,0.02168
1784787585.1094,100,58,0.06607,0.04453
1784787585.1094,100,59,0.07802,0.04687
1784787585.3071,101,0,0.00096,-0.01078
1784787585.3071,101,1,-0.00136,-0.00816
1784787585.3071,101,2,0.00268,-0.02187
1784787585.3071,101,3,0.00741,-0.04937
1784787585.3071,101,4,0.01505,-0.0742
1784787585.3071,101,5,0.00647,-0.05196
1784787585.3071,101,6,0.02138,-0.11042
1784787585.3071,101,7,0.03057,-0.12686
1784787585.3071,101,8,0.02569,-0.11667
1784787585.3071,101,9,0.02537,-0.11424
1784787585.3071,101,10,0.01901,-0.087
1784787585.3071,101,11,0.02606,-0.10385
1784787585.3071,101,12,-0.00038,-0.03101
1784787585.3071,101,13,0.00046,-0.0139
1784787585.3071,101,14,-0.00058,-0.00957
1784787585.3071,101,15,-0.00051,-0.02219
1784787585.3071,101,16,0.00069,-0.01982
1784787585.3071,101,17,0.00381,-0.02971
1784787585.3071,101,18,0.00432,-0.01932
1784787585.3071,101,19,-0.00249,-0.01643
1784787585.3071,101,20,-0.0039,-0.01613
1784787585.3071,101,21,-0.00461,-0.01131
1784787585.3071,101,22,-0.00469,-0.01857
1784787585.3071,101,23,-0.00633,-0.01621
1784787585.3071,101,24,-0.00507,-0.02017
1784787585.3071,101,25,-0.00678,-0.0108
1784787585.3071,101,26,-0.00734,-0.01034
1784787585.3071,101,27,-0.0061,-0.02053
1784787585.3071,101,28,-0.00664,-0.01555
1784787585.3071,101,29,-0.00916,-0.01992
1784787585.3071,101,30,-0.01073,-0.01799
1784787585.3071,101,31,-0.00027,-0.00978
1784787585.3071,101,32,0.00492,-0.01647
1784787585.3071,101,33,0.00597,-0.01906
1784787585.3071,101,34,0.00597,-0.00976
1784787585.3071,101,35,0.00939,-0.01605
1784787585.3071,101,36,0.00775,-0.00726
1784787585.3071,101,37,0.01092,-0.02049
1784787585.3071,101,38,0.01953,-0.03341
1784787585.3071,101,39,0.02026,-0.0207
1784787585.3071,101,40,0.02451,-0.02599
1784787585.3071,101,41,0.02779,-0.03461
1784787585.3071,101,42,0.03169,-0.05894
1784787585.3071,101,43,0.0316,-0.06256
1784787585.3071,101,44,0.05716,-0.0745
1784787585.3071,101,45,0.04984,-0.09126
1784787585.3071,101,46,0.06032,-0.09338
1784787585.3071,101,47,0.0505,-0.09379
1784787585.3071,101,48,0.05831,-0.09646
1784787585.3071,101,49,0.06587,-0.09955
1784787585.3071,101,50,0.07305,-0.0952
1784787585.3071,101,51,0.05361,-0.06738
1784787585.3071,101,52,0.08822,-0.1131
1784787585.3071,101,53,0.08697,-0.10258
1784787585.3071,101,54,0.08906,-0.10717
1784787585.3071,101,55,0.09239,-0.11627
1784787585.3071,101,56,0.09319,-0.12381
1784787585.3071,101,57,0.08235,-0.11258
1784787585.3071,101,58,0.08315,-0.11664
1784787585.3071,101,59,0.08431,-0.11354
1784787585.5042,102,0,0.00935,-0.05854
1784787585.5042,102,1,0.01328,-0.07021
1784787585.5042,102,2,0.01172,-0.0678
1784787585.5042,102,3,0.01534,-0.06454
1784787585.5042,102,4,0.02446,-0.09903
1784787585.5042,102,5,0.02737,-0.09199
1784787585.5042,102,6,0.0137,-0.0698
1784787585.5042,102,7,0.01046,-0.03046
1784787585.5042,102,8,0.00872,-0.02686
1784787585.5042,102,9,0.00966,-0.01667
1784787585.5042,102,10,0.01094,-0.01283
1784787585.5042,102,11,0.00597,-0.01804
1784787585.5042,102,12,0.00372,0.0001
1784787585.5042,102,13,0.00244,0.00583
1784787585.5042,102,14,0.00012,0.00949
1784787585.5042,102,15,0.00337,-0.00463
1784787585.5042,102,16,0.00306,-0.00679
1784787585.5042,102,17,0.00366,-0.00241
1784787585.5042,102,18,0.00895,-0.01488
1784787585.5042,102,19,0.00075,-0.03171
1784787585.5042,102,20,0.00196,-0.0412
1784787585.5042,102,21,0.00525,-0.04799
1784787585.5042,102,22,0.00896,-0.04896
1784787585.5042,102,23,0.00875,-0.04806
1784787585.5042,102,24,0.0085,-0.04314
1784787585.5042,102,25,0.01309,-0.03666
1784787585.5042,102,26,0.01168,-0.03117
1784787585.5042,102,27,0.0158,-0.01988
1784787585.5042,102,28,0.0098,-0.00985
1784787585.5042,102,29,0.00606,0.00485
1784787585.5042,102,30,0.00285,0.01175
1784787585.5042,102,31,0.0025,0.01989
1784787585.5042,102,32,0.00407,0.0221
1784787585.5042,102,33,0.0059,0.02247
1784787585.5042,102,34,0.00624,0.01933
1784787585.5042,102,35,0.00442,0.02277
1784787585.5042,102,36,0.0038,0.02492
1784787585.5042,102,37,0.00203,0.02792
1784787585.5042,102,38,0.00569,0.01774
1784787585.5042,102,39,0.00893,0.01255
1784787585.5042,102,40,0.00886,0.00582
1784787585.5042,102,41,0.0091,0.00205
1784787585.5042,102,42,0.00893,0.00043
