seq,anchor_robot_t,step,step_robot_t,vx,wz,dt
5016,175724.3812,19,175725.0145,0.0,0.0,0.03333
5016,175724.3812,20,175725.0479,0.0,0.0,0.03333
5016,175724.3812,21,175725.0812,0.0,0.0,0.03333
5016,175724.3812,22,175725.1145,0.0,0.0,0.03333
5016,175724.3812,23,175725.1479,0.0,0.0,0.03333
5016,175724.3812,24,175725.1812,0.0,0.0,0.03333
5016,175724.3812,25,175725.2145,0.0,0.0,0.03333
5016,175724.3812,26,175725.2479,0.0,0.0,0.03333
5016,175724.3812,27,175725.2812,0.0,0.0,0.03333
5016,175724.3812,28,175725.3145,0.0,0.0,0.03333
5016,175724.3812,29,175725.3479,0.0,0.0,0.03333
5016,175724.3812,30,175725.3812,0.0,0.0,0.03333
5016,175724.3812,31,175725.4145,0.0,0.0,0.03333
5017,175724.4823,0,175724.4823,0.0,0.0,0.03333
5017,175724.4823,1,175724.5156,0.0,0.0,0.03333
5017,175724.4823,2,175724.5489,0.0,0.0,0.03333
5017,175724.4823,3,175724.5823,0.0,0.0,0.03333
5017,175724.4823,4,175724.6156,0.0,0.0,0.03333
5017,175724.4823,5,175724.6489,0.0,0.0,0.03333
5017,175724.4823,6,175724.6823,0.0,0.0,0.03333
5017,175724.4823,7,175724.7156,0.0,0.0,0.03333
5017,175724.4823,8,175724.7489,0.0,0.0,0.03333
5017,175724.4823,9,175724.7823,0.0,0.0,0.03333
5017,175724.4823,10,175724.8156,0.0,0.0,0.03333
5017,175724.4823,11,175724.8489,0.0,0.0,0.03333
5017,175724.4823,12,175724.8823,0.0,0.0,0.03333
5017,175724.4823,13,175724.9156,0.0,0.0,0.03333
5017,175724.4823,14,175724.9489,0.0,0.0,0.03333
5017,175724.4823,15,175724.9823,0.0,0.0,0.03333
5017,175724.4823,16,175725.0156,0.0,0.0,0.03333
5017,175724.4823,17,175725.0489,0.0,0.0,0.03333
5017,175724.4823,18,175725.0823,0.0,0.0,0.03333
5017,175724.4823,19,175725.1156,0.0,0.0,0.03333
5017,175724.4823,20,175725.1489,0.0,0.0,0.03333
5017,175724.4823,21,175725.1823,0.0,0.0,0.03333
5017,175724.4823,22,175725.2156,0.0,0.0,0.03333
5017,175724.4823,23,175725.2489,0.0,0.0,0.03333
5017,175724.4823,24,175725.2823,0.0,0.0,0.03333
5017,175724.4823,25,175725.3156,0.0,0.0,0.03333
5017,175724.4823,26,175725.3489,0.0,0.0,0.03333
5017,175724.4823,27,175725.3823,0.0,0.0,0.03333
5017,175724.4823,28,175725.4156,0.0,0.0,0.03333
5017,175724.4823,29,175725.4489,0.0,0.0,0.03333
5017,175724.4823,30,175725.4823,0.0,0.0,0.03333
5017,175724.4823,31,175725.5156,0.0,0.0,0.03333
5018,175724.5837,0,175724.5837,0.0,0.0,0.03333
5018,175724.5837,1,175724.6171,0.0,0.0,0.03333
5018,175724.5837,2,175724.6504,0.0,0.0,0.03333
5018,175724.5837,3,175724.6837,0.0,0.0,0.03333
5018,175724.5837,4,175724.7171,0.0,0.0,0.03333
5018,175724.5837,5,175724.7504,0.0,0.0,0.03333
5018,175724.5837,6,175724.7837,0.0,0.0,0.03333
5018,175724.5837,7,175724.8171,0.0,0.0,0.03333
5018,175724.5837,8,175724.8504,0.0,0.0,0.03333
5018,175724.5837,9,175724.8837,0.0,0.0,0.03333
5018,175724.5837,10,175724.9171,0.0,0.0,0.03333
5018,175724.5837,11,175724.9504,0.0,0.0,0.03333
5018,175724.5837,12,175724.9837,0.0,0.0,0.03333
5018,175724.5837,13,175725.0171,0.0,0.0,0.03333
5018,175724.5837,14,175725.0504,0.0,0.0,0.03333
5018,175724.5837,15,175725.0837,0.0,0.0,0.03333
5018,175724.5837,16,175725.1171,0.0,0.0,0.03333
5018,175724.5837,17,175725.1504,0.0,0.0,0.03333
5018,175724.5837,18,175725.1837,0.0,0.0,0.03333
5018,175724.5837,19,175725.2171,0.0,0.0,0.03333
5018,175724.5837,20,175725.2504,0.0,0.0,0.03333
5018,175724.5837,21,175725.2837,0.0,0.0,0.03333
5018,175724.5837,22,175725.3171,0.0,0.0,0.03333
5018,175724.5837,23,175725.3504,0.0,0.0,0.03333
5018,175724.5837,24,175725.3837,0.0,0.0,0.03333
5018,175724.5837,25,175725.4171,0.0,0.0,0.03333
5018,175724.5837,26,175725.4504,0.0,0.0,0.03333
5018,175724.5837,27,175725.4837,0.0,0.0,0.03333
5018,175724.5837,28,175725.5171,0.0,0.0,0.03333
5018,175724.5837,29,175725.5504,0.0,0.0,0.03333
5018,175724.5837,30,175725.5837,0.0,0.0,0.03333
5018,175724.5837,31,175725.6171,0.0,0.0,0.03333
5019,175724.6846,0,175724.6846,0.0,0.0,0.03333
5019,175724.6846,1,175724.7179,0.0,0.0,0.03333
5019,175724.6846,2,175724.7512,0.0,0.0,0.03333
5019,175724.6846,3,175724.7846,0.0,0.0,0.03333
5019,175724.6846,4,175724.8179,0.0,0.0,0.03333
5019,175724.6846,5,175724.8512,0.0,0.0,0.03333
5019,175724.6846,6,175724.8846,0.0,0.0,0.03333
5019,175724.6846,7,175724.9179,0.0,0.0,0.03333
5019,175724.6846,8,175724.9512,0.0,0.0,0.03333
5019,175724.6846,9,175724.9846,0.0,0.0,0.03333
5019,175724.6846,10,175725.0179,0.0,0.0,0.03333
5019,175724.6846,11,175725.0512,0.0,0.0,0.03333
5019,175724.6846,12,175725.0846,0.0,0.0,0.03333
5019,175724.6846,13,175725.1179,0.0,0.0,0.03333
5019,175724.6846,14,175725.1512,0.0,0.0,0.03333
5019,175724.6846,15,175725.1846,0.0,0.0,0.03333
5019,175724.6846,16,175725.2179,0.0,0.0,0.03333
5019,175724.6846,17,175725.2512,0.0,0.0,0.03333
5019,175724.6846,18,175725.2846,0.0,0.0,0.03333
5019,175724.6846,19,175725.3179,0.0,0.0,0.03333
5019,175724.6846,20,175725.3512,0.0,0.0,0.03333
5019,175724.6846,21,175725.3846,0.0,0.0,0.03333
5019,175724.6846,22,175725.4179,0.0,0.0,0.03333
5019,175724.6846,23,175725.4512,0.0,0.0,0.03333
5019,175724.6846,24,175725.4846,0.0,0.0,0.03333
5019,175724.6846,25,175725.5179,0.0,0.0,0.03333
5019,175724.6846,26,175725.5512,0.0,0.0,0.03333
5019,175724.6846,27,175725.5846,0.0,0.0,0.03333
5019,175724.6846,28,175725.6179,0.0,0.0,0.03333
5019,175724.6846,29,175725.6512,0.0,0.0,0.03333
5019,175724.6846,30,175725.6846,0.0,0.0,0.03333
5019,175724.6846,31,175725.7179,0.0,0.0,0.03333
5020,175724.7866,0,175724.7866,0.0,0.0,0.03333
5020,175724.7866,1,175724.8199,0.0,0.0,0.03333
5020,175724.7866,2,175724.8532,0.0,0.0,0.03333
5020,175724.7866,3,175724.8866,0.0,0.0,0.03333
5020,175724.7866,4,175724.9199,0.0,0.0,0.03333
5020,175724.7866,5,175724.9532,0.0,0.0,0.03333
5020,175724.7866,6,175724.9866,0.0,0.0,0.03333
5020,175724.7866,7,175725.0199,0.0,0.0,0.03333
5020,175724.7866,8,175725.0532,0.0,0.0,0.03333
5020,175724.7866,9,175725.0866,0.0,0.0,0.03333
5020,175724.7866,10,175725.1199,0.0,0.0,0.03333
5020,175724.7866,11,175725.1532,0.0,0.0,0.03333
5020,175724.7866,12,175725.1866,0.0,0.0,0.03333
5020,175724.7866,13,175725.2199,0.0,0.0,0.03333
